adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[18],1065971,sv,Stall-Erik och Snapphanarna,"Stall-Erik och snapphanarna is a Swedish film project that began filming in 1996 with a preliminary premiere in 2025. Director, producer and lead actor is Anders Olofsson. Olofsson is entirely responsible for the financing of the project and the casting.",1.458,,2025-03-01,Stall-Erik and the Snapphans,False,0,0
False,,"[16, 10751, 14]",936108,en,The Smurf Movie,An animated musical film focused on Peyo's iconic creations.,3.029,,2025-02-12,The Smurf Movie,False,0,0
False,/qlwBv4v6EoeN2JxGWziT2kSyoVe.jpg,"[878, 28, 14]",617126,en,Fantastic Four,Set in the Marvel Cinematic Universe (MCU) and based on the Marvel Comics characters of the same name.,9.61,/jatnqRPnxjg2Q6cFsAjmrBNhx9.jpg,2025-02-12,Fantastic Four,False,0,0
False,,[],1108315,id,SAMA 2,sequel to the short film “SAMA” in 2019,0.6,/g8TYlJ3cogrshfdIXzVSFaabFZg.jpg,2025-02-08,SAME 2,False,0,0
False,,"[14, 12]",962352,en,Land Uncharted,"In the 1930s a trio of unlikely adventurers set off to find a heretofore uncharted land. It has existed in stories and myths for centuries and is believed to be somewhere around the North Pole.  Hounded by an overambitious agent of the USSR, the explorers end up finding much more than they ever expected.",2.141,,2025-02-02,Land Uncharted,False,0,0
False,,[18],1027501,zh,不老騎士,,0.633,,2025-01-25,Let’s Hit the Road,False,0,0
False,,"[878, 27, 35]",1071585,en,M3GAN 2.0,,9.236,/knr9wCLYT8zAsROasCOT42na7uQ.jpg,2025-01-17,M3GAN 2.0,False,0,0
False,,"[9648, 35, 14]",1103762,en,Untitled Spruce Films Project,The next feature film project from Spruce Films.,1.01,,2025-01-01,Untitled Spruce Films Project,False,0,0
False,,"[35, 53]",1095027,sl,Dekle noči,A young and alienated kleptomaniac's aimless life unexpectedly complicates when he steals a bike from a stubborn young girl who is supposedly a crime fighting superhero.,0.889,,2025-01-01,Girl of the Night,False,0,0
False,/yZfia37VeZqqoxzq5gKgkTKWbRc.jpg,[],531229,tr,Son Göktürk,,0.664,/iuk8tKnme2qjFB0wHTaCqJbGuhf.jpg,2025-01-01,Son Göktürk,False,0,1
False,/gGW1Je4CaAc1m5QEre6WjA97VKP.jpg,[],1127108,sv,A Part of You,"""A Part of You is"" a story about life and death that portrays the experience of being 17 years old and feeling like your heart is about to burst from your chest. Agnes' older sister Julia possesses everything that Agnes dreams of: she's the coolest person in school, the center of every party, and she’s dating Noel. If only Agnes could be more like her. When the worst possible thing occurs, Agnes' world is turned upside down and she’s forced to reinvent herself. Suddenly, she's on the verge of obtaining everything she's ever desired, but at what cost?",0,,2024-12-31,A Part of You,False,0,0
False,,"[28, 18, 36]",1105331,tl,Elena 1944,It is a story of a comfort woman during the Japanese occupation in the Philippines and is based on a Palanca-award winning screenplay.,2.516,/8XtWp5K8QBJvgzBqDGaVeR9v3cw.jpg,2024-12-31,Elena 1944,False,0,0
False,/sh7nVVwO65NkALWwZ6nMdmmHHLM.jpg,"[36, 18, 28]",1091540,en,The Lost Ronin,A legendary Ronin named Musashi sets foot to save his daughter from a corrupt clan.,1.4,/6qvP7t4aqwIkcNAJCIyAlZ3X13J.jpg,2024-12-31,The Lost Ronin,False,0,0
False,,[16],1064486,en,Memoir of a Snail,A bittersweet remembrance of Grace Puddle; a lonely hoarder of ornamental snails living in Canberra.,0.6,/vpE08Rhewk1s8ZrKqqxgUvqPEjv.jpg,2024-12-31,Memoir of a Snail,False,0,0
False,,"[28, 36]",1051486,sv,Stockholms Blodbad,"It follows Anne and Freja as they seek revenge on the men who murdered their family. They end up in Stockholm, where they are drawn into a political power struggle between Sweden and Denmark that culminates in a mass execution.",1.472,,2024-12-31,Stockholm Bloodbath,False,0,0
False,,[99],1043414,en,Glory Road,"Russ Cook documents his attempt running from the most southern to the most western to the most northern points of Africa, through rainforests, cities, and deserts, averaging 360 marathons over 240 days.",0.971,/pxjsmg9BFuWosd53jph5vBTYCga.jpg,2024-12-31,Glory Road,False,0,0
False,,"[35, 36]",1040109,en,Wooden,"Fred Boner, an eccentric young man in the 1950s sets off to become the most beloved cult filmmaker.",0.6,/w36oDoX08Bg9XWbSUVw1TeJpOOm.jpg,2024-12-31,Wooden,False,0,0
False,,"[80, 28]",1017163,ko,범죄도시 4,,1.406,/9DVtwkuxzCLGVMapioeJ4RflfyW.jpg,2024-12-31,The Roundup: Punishment,False,0,0
False,,[99],997197,de,Making Of: 3Farben (AT),"A behind-the-scenes documentary on ""Three Colors: Black, Red, Gold"" and the movement behind the film.",0.6,,2024-12-31,Making Of: 3Farben (AT),False,0,0
False,/qL7r64QCSrGhlQaw5PyIqR4ajOk.jpg,"[35, 80, 9648]",950830,es,Los Simuladores: La Película,"Mario Santos, Pablo Lamponne, Emilio Ravenna and Gabriel Medina return.",1.641,/nts9rxL5zBtLNTKB0Yw3rVnqY8Y.jpg,2024-12-31,Los Simuladores: La Película,False,0,0
False,,"[80, 18, 53]",1124904,en,One Last Deal,"A man named Heath has been hiding away from police for weeks and needs to find a way to escape the country. Heath decides to make a drug deal that should earn him thousands. Deal doesn’t exactly go to plan, and Heath becomes a bigger target.",0.715,/4bMofjoxkiltIwckAZlI8V5TYme.jpg,2024-12-30,One Last Deal,False,0,0
False,,"[12, 36, 878]",920989,bn,কিংবদন্তি,"A period piece that also includes elements of sci-fi, adventure, mythology and alternate history along with its core theme of the backdrop of World War 1.",0.628,/z5ZnyF3Z7r9MxvfUedvPR78Wyb.jpg,2024-12-30,Kimbadanti,False,0,0
False,,"[878, 9648, 14]",970390,en,Inverse,"This story looks at the time between the beginning and the end of your life, over time, behind time, and ahead of time, at the same time.",16.136,/3QtxHZ8nqYfg6FLn0z8Mprmnyn3.jpg,2024-12-29,Inverse,False,0,0
