adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[80, 27]",1101540,en,The Sierra Nevada Murders,"When a serial killer dies in prison, secrets and new revelations are exposed, in this found footage horror mockumentary.",0.662,/wbKEv43RwmjLmpOEcZi7fg6giOZ.jpg,2022-12-13,The Sierra Nevada Murders,False,0,0
False,,[],1101506,en,Bertie the Brilliant,"A young boy takes on chores and small jobs around his neighborhood to raise money for a ticket to a magic show; but when his grandmother loses her job, he is faced with a difficult decision.",1.4,/qvQCMkR0mu3aLkO6nByds4G1Ftx.jpg,2022-09-24,Bertie the Brilliant,False,0,0
False,,[],1101481,en,Gorditx,"A kung-fu obsessed girl finds an unlikely sensei in the trans masc chef at the exclusive country club where her dad works, and together they plan to win the upcoming kids’ golf tournament.",0.6,/uWeQ7jF2g8pNDTIh6atwCa5am36.jpg,2022-11-25,Gorditx,False,0,0
False,,[],1101479,en,Co-Pilots,"A former couple tries to navigate their break-up, with all its messiness and petty jealousies, in the extremely-close quarters of their workplace: a cockpit.",0.631,/tXOAFFooyG6UHIYiyqrNiw5rd2v.jpg,2022-02-09,Co-Pilots,False,0,0
False,,[],1101467,pa,Zindagi Dobara,"A teenage girl is forced to live with the aunt she’s never met when her parents are killed in a car accident, and together they must learn to coexist.",0.6,/85kcDi7uqCBb0AVlMdPl5P7UtXR.jpg,2022-11-13,Life Again,False,0,0
False,,[99],1101456,cs,Tak trochu poučnej barák,,0.6,,2022-01-17,Tak trochu poučnej barák,False,0,0
False,/6G1TiAvVqgMrAWqbiVmn2Y9t5DV.jpg,"[27, 35]",1101439,en,The Shower Curtain,Sometimes there is something hiding in the shower.,0.6,/l6jkXsxwq20oM3OGwdtMGiIFfco.jpg,2022-07-14,The Shower Curtain,False,0,0
False,,[],1101426,en,Viv's Silly Mango,"Viv's world erupts when Nikki, the rebellious new girl, arrives and threatens her dynamic with best friend, Esther. After a rival boy band reveals Viv's deepest secrets, the mismatched trio must work together to reclaim what's theirs.",0.6,/kcS8d27ioxestOagTYvSCBSCe9L.jpg,2022-11-20,Viv's Silly Mango,False,0,0
False,,[10402],1101408,es,Michael Olivera & The Cuban Jazz Syndicate,,0.628,,2022-01-01,Michael Olivera & The Cuban Jazz Syndicate,False,0,0
False,/lqVuOBMo3OPudVYIrmXdeIsUa67.jpg,[10402],1101405,fr,Kevin Morby - La Route du Rock,,0.691,/jPXnZjrLOKaTUWnZKHgpiKE0RoZ.jpg,2022-08-19,Kevin Morby - La Route du Rock,False,9,1
